,ip,province,city,company
0,97.105.19.61,Texas,San Antonio,Codeup LLC
1,71.137.146.71,Texas,San Antonio,AT&T Corp.
2,209.205.123.242,Texas,Dallas,Servers.com Inc.
3,192.171.117.210,Texas,San Antonio,Aethernet LLC
4,12.189.101.90,California,San Francisco,AT&T Services Inc.
5,104.193.225.250,Texas,Dallas,Catalyst Host
6,12.247.3.42,Texas,San Antonio,AT&T Internet Services
7,174.207.5.52,Oklahoma,Guymon,Verizon Wireless
8,172.3.220.202,Texas,San Antonio,AT&T Corp.
9,107.77.100.125,Texas,San Antonio,AT&T Mobility LLC
10,96.8.150.23,Texas,New Braunfels,Guadalupe Valley Telephone Cooperative Inc.
11,24.26.254.147,Texas,San Antonio,Charter Communications Inc
12,72.191.50.176,Texas,Leon Valley,Charter Communications Inc
13,108.65.244.91,Texas,San Antonio,AT&T Corp.
14,76.185.247.126,Texas,San Antonio,Charter Communications Inc
15,107.204.132.6,Texas,San Antonio,AT&T Corp.
16,173.174.155.172,Texas,Universal City,Charter Communications Inc
17,72.179.161.39,Texas,San Antonio,Charter Communications Inc
18,72.177.226.58,Texas,San Antonio,Charter Communications Inc
19,174.207.1.185,Texas,Plainview,Verizon Wireless
20,70.123.231.211,Texas,Universal City,Charter Communications Inc
21,72.191.29.130,Texas,San Antonio,Charter Communications Inc
22,65.36.105.55,Texas,San Antonio,Grande Communications San Antonio Hub
23,12.247.3.50,Texas,San Antonio,AT&T Internet Services
24,173.173.127.101,Texas,San Antonio,Charter Communications Inc
25,173.127.33.241,Texas,Houston,Sprint Communications Inc.
26,162.232.155.19,Texas,El Paso,AT&T Corp.
27,99.203.26.41,Texas,Houston,Sprint Communications Inc.
28,96.8.179.59,Texas,San Antonio,Guadalupe Valley Telephone Cooperative Inc.
29,70.114.139.150,Texas,Round Rock,Charter Communications Inc
30,72.181.117.226,Texas,San Antonio,Charter Communications Inc
31,71.42.140.139,Texas,San Antonio,Starbucks
32,45.22.97.134,Texas,San Antonio,AT&T Corp.
33,173.173.104.57,Texas,San Antonio,Charter Communications Inc
34,104.53.201.99,Texas,San Antonio,AT&T Corp.
35,173.174.159.45,Texas,Universal City,Charter Communications Inc
36,67.10.161.55,Texas,San Antonio,Charter Communications Inc
37,184.226.6.201,Texas,Houston,Sprint Communications Inc.
38,76.211.179.43,Connecticut,Wallingford,AT&T Corp.
39,24.160.159.122,Texas,San Antonio,Charter Communications Inc
40,66.69.62.219,Texas,San Antonio,Charter Communications Inc
41,209.205.122.186,Texas,Dallas,Servers.com Inc.
42,24.153.137.59,Texas,San Antonio,Starbucks
43,67.10.168.76,Texas,San Antonio,Charter Communications Inc
44,70.123.209.40,Texas,San Antonio,Charter Communications Inc
45,67.198.116.192,Texas,San Marcos,Grande Communications San Marcos
46,98.6.204.195,Texas,San Antonio,Starbucks
47,24.155.140.118,Texas,San Antonio,Grande Communications San Antonio Hub
48,162.205.226.57,Texas,San Antonio,AT&T Corp.
49,173.173.100.228,Texas,San Antonio,Charter Communications Inc
50,65.36.111.91,Texas,San Antonio,Grande Communications San Antonio Hub
51,184.203.148.135,Arizona,Phoenix,Sprint Communications Inc.
52,72.181.97.136,Texas,San Antonio,Charter Communications Inc
53,72.181.118.217,Texas,San Antonio,Charter Communications Inc
54,67.11.104.47,Texas,San Antonio,Charter Communications Inc
55,24.155.251.203,Texas,San Antonio,Grande Communications San Antonio Hub
56,23.122.42.151,Texas,San Antonio,AT&T Corp.
57,24.27.227.0,Texas,San Antonio,Charter Communications Inc
58,24.27.227.1,Texas,San Antonio,Charter Communications Inc
59,170.248.173.246,Texas,San Antonio,Accenture LLP
60,70.114.36.54,Texas,San Antonio,Charter Communications Inc
61,216.1.153.162,New Jersey,Newark,Verizon Communications Inc.
62,104.219.136.67,Texas,San Antonio,Rock Solid Internet & Telephone
63,72.177.206.117,Texas,San Antonio,Charter Communications Inc
64,173.173.116.10,Texas,San Antonio,Charter Communications Inc
65,173.173.114.158,Texas,San Antonio,Charter Communications Inc
66,108.248.9.192,Texas,Richardson,AT&T Corp.
67,72.48.111.7,Texas,San Marcos,Grande Communications San Antonio Hub
68,66.69.77.154,Texas,San Antonio,Charter Communications Inc
69,70.117.6.133,Texas,San Antonio,Charter Communications Inc
70,24.243.31.59,Texas,San Antonio,Charter Communications Inc
71,99.203.26.214,Texas,Houston,Sprint Communications Inc.
72,107.77.64.27,Texas,Victoria,AT&T Mobility LLC
73,70.120.83.9,Texas,San Antonio,Charter Communications Inc
74,131.194.98.179,Texas,San Antonio,Trinity University
75,99.203.155.25,Texas,Houston,Sprint Communications Inc.
76,108.239.187.113,Texas,San Antonio,AT&T Corp.
77,173.239.218.8,New Jersey,Piscataway,North American Cable Television and Internet LLC
78,170.248.173.247,Texas,San Antonio,Accenture LLP
79,209.205.122.182,Texas,Dallas,Servers.com Inc.
80,99.203.26.237,Texas,Houston,Sprint Communications Inc.
81,68.203.201.38,Texas,San Antonio,Charter Communications Inc
82,67.11.154.74,Texas,San Antonio,Charter Communications Inc
83,76.214.156.42,Texas,San Antonio,AT&T Corp.
84,99.203.26.144,Texas,Houston,Sprint Communications Inc.
85,162.236.252.30,Texas,San Antonio,AT&T Corp.
86,99.203.155.131,Texas,Houston,Sprint Communications Inc.
87,136.50.29.193,Texas,San Antonio,Google Fiber Inc.
88,107.207.7.120,Texas,San Antonio,AT&T Corp.
89,67.11.144.38,Texas,San Antonio,Charter Communications Inc
90,23.127.174.69,Texas,San Antonio,AT&T Corp.
91,173.127.67.70,Texas,Houston,Sprint Communications Inc.
92,72.178.96.177,Texas,New Braunfels,Charter Communications Inc
93,45.21.0.138,Texas,San Antonio,AT&T Corp.
94,129.115.2.245,Texas,San Antonio,University of Texas at San Antonio
95,71.40.1.172,Texas,San Antonio,Starbucks
96,107.77.80.107,Texas,San Antonio,AT&T Mobility LLC
97,104.53.215.21,Texas,San Antonio,AT&T Corp.
98,172.110.83.150,Texas,Hondo,CommZoom LLC
99,66.42.139.162,Ohio,Cincinnati,Fuse Internet Access
100,70.121.180.146,Texas,San Antonio,Charter Communications Inc
101,64.134.159.125,Texas,Austin,Wayport Inc.
102,174.207.2.105,Texas,Waco,Verizon Wireless
103,72.182.107.70,Texas,Austin,Charter Communications Inc
104,99.203.27.154,Texas,Houston,Sprint Communications Inc.
105,196.52.2.30,New York,New York City,LogicWeb Inc
106,66.69.124.135,Texas,San Antonio,Charter Communications Inc
107,196.52.2.70,New York,New York City,LogicWeb Inc
108,24.27.227.0,Texas,San Antonio,Charter Communications Inc
109,99.203.26.237,Texas,Houston,Sprint Communications Inc.
110,166.251.112.222,Texas,San Antonio,Wireless Data Service Provider Corporation
111,172.5.98.113,Texas,San Antonio,AT&T Corp.
112,68.203.203.145,Texas,San Antonio,Charter Communications Inc
113,12.43.239.98,Texas,Pleasanton,Marriott Corporationattn Joh
114,170.248.173.245,Texas,San Antonio,Accenture LLP
115,72.48.6.70,Texas,San Antonio,Grande Communications San Antonio Hub
116,67.11.96.101,Texas,San Antonio,Charter Communications Inc
117,196.52.2.49,New York,New York City,LogicWeb Inc
118,50.226.114.86,California,Palo Alto,Comcast Cable Communications LLC
119,104.5.159.83,Texas,San Antonio,AT&T Corp.
120,216.177.181.227,Texas,San Antonio,GVTC-Dialup Dynamic Pool
121,172.85.200.202,Florida,Orlando,Granite Telecommunications LLC
122,70.121.188.16,Texas,San Antonio,Charter Communications Inc
123,99.203.155.59,Texas,Houston,Sprint Communications Inc.
124,173.127.112.106,Texas,Houston,Sprint Communications Inc.
125,184.226.30.104,Texas,Houston,Sprint Communications Inc.
126,173.174.178.51,Texas,San Antonio,Charter Communications Inc
127,24.242.163.11,Texas,San Antonio,Def Logix
128,174.207.7.252,Texas,Georgetown,Verizon Wireless
129,12.197.199.226,Texas,San Antonio,Texas Creative
130,50.250.214.161,California,San Francisco,Comcast Cable Communications LLC
131,173.127.13.65,Texas,Houston,Sprint Communications Inc.
132,24.26.238.218,Texas,San Antonio,Charter Communications Inc
133,66.69.68.137,Texas,San Antonio,Charter Communications Inc
134,76.185.131.226,Texas,San Antonio,Charter Communications Inc
135,166.137.118.89,Louisiana,Lafayette,AT&T Mobility LLC
136,75.1.32.205,Texas,New Braunfels,AT&T Corp.
137,104.191.1.102,Texas,San Antonio,AT&T Corp.
138,100.35.67.162,New York,New York City,Verizon Communications Inc.
139,166.137.136.50,Texas,Tyler,AT&T Mobility LLC
140,174.207.17.250,Texas,Odessa,Verizon Wireless
141,72.181.99.132,Texas,San Antonio,Charter Communications Inc
142,66.25.81.21,Texas,San Antonio,Charter Communications Inc
143,24.160.133.222,Texas,San Antonio,Charter Communications Inc
144,70.121.171.184,Texas,San Antonio,Charter Communications Inc
145,141.150.59.235,New Jersey,Rahway,Verizon Communications Inc.
146,166.137.125.75,Texas,Odessa,AT&T Mobility LLC
147,172.8.173.255,Texas,San Antonio,AT&T Corp.
148,196.52.2.52,New York,New York City,LogicWeb Inc
149,104.48.141.55,Texas,Richardson,AT&T Corp.
